P homeless,P exit,P undetected,Simulation,# Consecutive,# Episodic,# Chronic,# Ever Homeless,# Undetected Chronic,Frac Undetected Chronic,Wall Time (s),Episodic as % Chronic
0.0125,0.01,0.005,0,7940,12002,19942,20000,1653,0.13772704549241793,5.722057568,0.6018453515194063
0.0025,0.0025,0.0025,1,9617,69,9686,18711,25,0.36231884057971014,1.8955618879999996,0.007123683667148462
0.0125,0.0075,0.0125,0,10826,7741,18567,20000,412,0.053223097790983075,6.048512433999999,0.4169224969031077
0.0025,0.0025,0.005,1,10425,38,10463,18781,7,0.18421052631578946,2.22589713,0.0036318455509892
0.0125,0.01,0.0075,0,8041,11776,19817,20000,1107,0.09400475543478261,6.063078965999999,0.5942372710299239
0.0025,0.0025,0.0075,1,10587,26,10613,18692,2,0.07692307692307693,2.5045360710000004,0.0024498256854800717
0.0125,0.01,0.01,0,8275,11596,19871,20000,741,0.06390134529147982,6.3723216260000015,0.5835639877207992
0.0025,0.005,0.0025,1,5998,405,6403,18755,130,0.32098765432098764,2.0700326790000005,0.06325160081211932
0.0025,0.0025,0.01,1,10797,31,10828,18726,3,0.0967741935483871,2.8075271199999996,0.0028629479128186182
0.0125,0.0125,0.0025,0,5530,14375,19905,20000,2455,0.17078260869565218,6.004873212999996,0.7221803566942979
0.0025,0.005,0.005,1,6589,304,6893,18727,62,0.20394736842105263,2.1731271060000026,0.04410271289714203
0.0125,0.0125,0.005,0,6323,14136,20459,20000,1563,0.11056876061120544,6.160540627,0.6909428613324209
0.0125,0.01,0.0125,0,8100,11732,19832,20000,624,0.05318786225707467,6.792119503999999,0.5915691811214199
0.0025,0.005,0.0075,1,6620,274,6894,18712,34,0.12408759124087591,2.376009621999998,0.03974470554105019
0.0125,0.0125,0.0075,0,6446,14221,20667,20000,1061,0.07460797412277617,6.344858963000004,0.6881018048095998
0.0025,0.0025,0.0125,1,10852,21,10873,18713,2,0.09523809523809523,3.0661440799999973,0.0019313896808608479
0.0025,0.005,0.01,1,6760,206,6966,18698,21,0.10194174757281553,2.621906735000003,0.02957220786678151
0.0025,0.0075,0.0025,1,4248,873,5121,18703,255,0.2920962199312715,2.113238396,0.1704745166959578
0.0025,0.0075,0.005,1,4598,726,5324,18695,138,0.19008264462809918,2.1949486720000024,0.13636363636363635
0.0025,0.005,0.0125,1,6682,206,6888,18738,15,0.07281553398058252,2.9347101080000044,0.029907084785133566
0.0125,0.0125,0.01,0,6237,14222,20459,20000,791,0.055618056532133316,6.725219846000002,0.6951463903416589
0.0025,0.01,0.0025,1,3090,1167,4257,18693,318,0.27249357326478146,2.3367100449999967,0.2741367159971811
0.0025,0.0075,0.0075,1,4614,623,5237,18749,88,0.14125200642054575,2.724662015,0.11896123734962764
0.0025,0.0075,0.01,1,4463,599,5062,18690,65,0.10851419031719532,2.7291730079999965,0.11833267483208218
0.0025,0.01,0.005,1,3424,1064,4488,18737,197,0.18515037593984962,2.552399142000006,0.23707664884135474
0.0025,0.0075,0.0125,1,4464,544,5008,18707,66,0.1213235294117647,2.9976109489999985,0.10862619808306709
0.0025,0.01,0.0075,1,3386,1026,4412,18738,165,0.1608187134502924,2.735423081999997,0.23254759746146872
0.0025,0.0125,0.0025,1,2571,1262,3833,18722,318,0.2519809825673534,2.488453468000003,0.3292460213931646
0.0125,0.0125,0.0125,0,6216,14241,20457,20000,632,0.04437890597570395,7.086484867000003,0.6961431294911278
0.0025,0.01,0.01,1,3209,974,4183,18709,123,0.12628336755646818,2.874069680000005,0.23284723882381067
0.0025,0.0125,0.005,1,2708,1242,3950,18717,243,0.1956521739130435,2.7566832750000003,0.31443037974683546
0.0025,0.01,0.0125,1,3109,957,4066,18715,156,0.16300940438871472,3.0402379510000017,0.23536645351697
0.0025,0.0125,0.0075,1,2589,1231,3820,18756,209,0.16978066612510154,2.750783521999999,0.32225130890052356
0.005,0.0025,0.0025,1,12835,349,13184,19924,115,0.32951289398280803,2.1484761829999997,0.02647148058252427
0.0025,0.0125,0.01,1,2442,1246,3688,18729,173,0.13884430176565007,2.892747235999998,0.3378524945770065
0.0025,0.0125,0.0125,1,2244,1238,3482,18689,196,0.1583198707592892,2.8462775639999975,0.3555427914991384
0.005,0.0025,0.005,1,13561,187,13748,19917,46,0.24598930481283424,2.5238023630000015,0.013601978469595578
0.005,0.0025,0.0075,1,13765,136,13901,19920,22,0.16176470588235295,2.9779798080000006,0.00978346881519315
0.005,0.005,0.0025,1,8858,2032,10890,19917,615,0.30265748031496065,2.863330071,0.18659320477502295
0.005,0.0025,0.01,1,14036,119,14155,19924,11,0.09243697478991597,3.490324045999998,0.008406923348640056
0.005,0.005,0.005,1,9815,1572,11387,19935,283,0.18002544529262088,3.113560102000001,0.13805216474927548
